No. Invoice;Tgl_Invoice;KodePelanggan;Nama Pelanggan;Alamat;Kota;Provinsi;Sales;KanReg;Tgl_Kirim;Ekspedisi;Kategori Barang;Jenis Barang;Jumlah;Harga;Total;TW
256;05/01/2018;23;Captain Marvel;Jl. Jambu mede;Mojokerto;Jatim;Mawar;Jawa;06/01/2018;JNE;Perabot;Meja Makan;1;2211000;2211000;1
905;07/01/2018;68;Captain N;Jl. Jambu semarang;Pasuruan;Jatim;Lily;Jawa;08/01/2018;TNT ;Perabot;Kursi Makan;6;3951000;23706000;1
492;27/01/2018;76;Captain Universe;Jl. Jeruk besar;Singkawang;Kalbar;Mawar;Kalimantan;28/01/2018;POS;Gadget;HP Apple;1;4892000;4892000;1
602;06/02/2018;58;Aquaman;Jl. Bacang;Cilegon;Banten;Jasmine;Jawa;07/02/2018;POS;Elektronik;Mesin Cuci;3;4358000;13074000;1
158;20/02/2018;41;Airboy;Jl. Binjai;Gorontalo;Gorontalo;Melati;Sulawesi;21/02/2018;TNT ;Perabot;Kursi Makan;3;3756000;11268000;1
624;23/02/2018;74;Astro Boy;Jl. Belimbing;Tangerang Selatan;Banten;Melati;Jawa;24/02/2018;TNT ;Perabot;Meja Tamu;5;4737000;23685000;1
224;07/03/2018;52;Comet Man;Jl. Kedondong;Tanjungpinang;Kepri;Melati;Sumatera;Gadget;POS;08/03/2018;Kursi Tamu;8;3139000;25112000;1
880;11/03/2018;7;Chamber;Jl. Jeruk kingkit;Banjarmasin;Kalsel;Dahlia;Kalimantan;Perabot;TNT ;12/03/2018;HP LG;2;3989000;7978000;1
588;15/03/2018;23;Captain Video;Jl. Jeruk keprok;Banjarbaru;Kalsel;Melati;Kalimantan;16/03/2018;JNE;Gadget;HP Oppo;4;4032000;16128000;1
513;15/03/2018;6;Deathlok;Jl. Lai;Makassar;Sulsel;Lily;Sulawesi;16/03/2018;TNT ;Perabot;Meja Tamu;8;2627000;21016000;1
127;27/03/2018;30;Airmale;Jl. Bisbul;Jakarta Barat;Jakarta;Jasmine;Jawa;28/03/2018;POS;Perabot;Lampu Taman;2;2464000;4928000;1
520;27/03/2018;17;Colossus;Jl. Kecapi;Batam;Kepri;Jasmine;Sumatera;28/03/2018;TNT ;Perabot;Meja Tamu;3;2921000;8763000;1
